tiempo,Tratamiento,Conc,sample,blank,abs
0,T-EC,C1,0.1150,0.0887,0.0263
0,T-EC,C1,0.1117,0.0890,0.0227
0,T-EC,C1,0.1148,0.0926,0.0222
0,T-EC,C2,0.1150,0.0887,0.0263
0,T-EC,C2,0.1117,0.0890,0.0227
0,T-EC,C2,0.1148,0.0926,0.0222
0,T-EC,C3,0.1150,0.0887,0.0263
0,T-EC,C3,0.1117,0.0890,0.0227
0,T-EC,C3,0.1148,0.0926,0.0222
0,TZn0-EC,C1,0.1093,0.0892,0.0201
0,TZn0-EC,C1,0.1066,0.0886,0.0180
0,TZn0-EC,C1,0.1082,0.0884,0.0198
0,TZn0-EC,C2,0.1048,0.0886,0.0162
0,TZn0-EC,C2,0.1042,0.0888,0.0154
0,TZn0-EC,C2,0.1029,0.0891,0.0138
0,TZn0-EC,C3,0.1076,0.0916,0.0160
0,TZn0-EC,C3,0.1081,0.0924,0.0157
0,TZn0-EC,C3,0.1073,0.0929,0.0144
0,TZn1-EC,C1,0.1125,0.0886,0.0239
0,TZn1-EC,C1,0.1122,0.0881,0.0241
0,TZn1-EC,C1,0.1112,0.0890,0.0222
0,TZn1-EC,C2,0.1157,0.0963,0.0194
0,TZn1-EC,C2,0.1167,0.0961,0.0206
0,TZn1-EC,C2,0.1160,0.0969,0.0191
0,TZn1-EC,C3,0.1154,0.0963,0.0191
0,TZn1-EC,C3,0.1154,0.0961,0.0193
0,TZn1-EC,C3,0.1177,0.0969,0.0208
0,TZn5-EC,C1,0.1109,0.0914,0.0195
0,TZn5-EC,C1,0.1100,0.0907,0.0193
0,TZn5-EC,C1,0.1106,0.0915,0.0191
0,TZn5-EC,C2,0.1148,0.0951,0.0197
0,TZn5-EC,C2,0.1167,0.0952,0.0215
0,TZn5-EC,C2,0.1149,0.0937,0.0212
0,TZn5-EC,C3,0.1171,0.0977,0.0194
0,TZn5-EC,C3,0.1186,0.1018,0.0168
0,TZn5-EC,C3,0.1196,0.1027,0.0169
0,TZn10-EC,C1,0.1166,0.0957,0.0209
0,TZn10-EC,C1,0.1176,0.0947,0.0229
0,TZn10-EC,C1,0.1178,0.0950,0.0228
0,TZn10-EC,C2,0.1185,0.0977,0.0208
0,TZn10-EC,C2,0.1197,0.1001,0.0196
0,TZn10-EC,C2,0.1176,0.0993,0.0183
0,TZn10-EC,C3,0.1183,0.1037,0.0146
0,TZn10-EC,C3,0.1205,0.0999,0.0206
0,TZn10-EC,C3,0.1200,0.1023,0.0177
2,T-EC,C1,0.4118,0.0951,0.3167
2,T-EC,C1,0.4569,0.0964,0.3605
2,T-EC,C1,0.5264,0.0959,0.4305
2,T-EC,C2,0.4118,0.0951,0.3167
2,T-EC,C2,0.4569,0.0964,0.3605
2,T-EC,C2,0.5264,0.0959,0.4305
2,T-EC,C3,0.4118,0.0951,0.3167
2,T-EC,C3,0.4569,0.0964,0.3605
2,T-EC,C3,0.5264,0.0959,0.4305
2,TZn0-EC,C1,0.3058,0.0892,0.2166
2,TZn0-EC,C1,0.3228,0.0886,0.2342
2,TZn0-EC,C1,0.3342,0.0884,0.2458
2,TZn0-EC,C2,0.2177,0.0886,0.1291
2,TZn0-EC,C2,0.2171,0.0888,0.1283
2,TZn0-EC,C2,0.2236,0.0891,0.1345
2,TZn0-EC,C3,0.1940,0.0916,0.1024
2,TZn0-EC,C3,0.1938,0.0924,0.1014
2,TZn0-EC,C3,0.1962,0.0929,0.1033
2,TZn1-EC,C1,0.3573,0.0886,0.2687
2,TZn1-EC,C1,0.3679,0.0881,0.2798
2,TZn1-EC,C1,0.3453,0.0890,0.2563
2,TZn1-EC,C2,0.1931,0.0963,0.0968
2,TZn1-EC,C2,0.1954,0.0961,0.0993
2,TZn1-EC,C2,0.1970,0.0969,0.1001
2,TZn1-EC,C3,0.1859,0.0963,0.0896
2,TZn1-EC,C3,0.1890,0.0961,0.0929
2,TZn1-EC,C3,0.1910,0.0969,0.0941
2,TZn5-EC,C1,0.3482,0.0914,0.2568
2,TZn5-EC,C1,0.3644,0.0907,0.2737
2,TZn5-EC,C1,0.3562,0.0915,0.2647
2,TZn5-EC,C2,0.2870,0.0951,0.1919
2,TZn5-EC,C2,0.2853,0.0952,0.1901
2,TZn5-EC,C2,0.2820,0.0937,0.1883
2,TZn5-EC,C3,0.2476,0.0977,0.1499
2,TZn5-EC,C3,0.2697,0.1018,0.1679
2,TZn5-EC,C3,0.2741,0.1027,0.1714
2,TZn10-EC,C1,0.3775,0.0957,0.2818
2,TZn10-EC,C1,0.3866,0.0947,0.2919
2,TZn10-EC,C1,0.4029,0.0950,0.3079
2,TZn10-EC,C2,0.3327,0.0977,0.2350
2,TZn10-EC,C2,0.3545,0.1001,0.2544
2,TZn10-EC,C2,0.3512,0.0993,0.2519
2,TZn10-EC,C3,0.3050,0.1037,0.2013
2,TZn10-EC,C3,0.3073,0.0999,0.2074
2,TZn10-EC,C3,0.3082,0.1023,0.2059
4,T-EC,C1,0.5913,0.0951,0.4962
4,T-EC,C1,0.6229,0.0964,0.5265
4,T-EC,C1,0.6069,0.0959,0.5110
4,T-EC,C2,0.5913,0.0951,0.4962
4,T-EC,C2,0.6229,0.0964,0.5265
4,T-EC,C2,0.6069,0.0959,0.5110
4,T-EC,C3,0.5913,0.0951,0.4962
4,T-EC,C3,0.6229,0.0964,0.5265
4,T-EC,C3,0.6069,0.0959,0.5110
4,TZn0-EC,C1,0.4503,0.0892,0.3611
4,TZn0-EC,C1,0.4605,0.0886,0.3719
4,TZn0-EC,C1,0.4867,0.0884,0.3983
4,TZn0-EC,C2,0.2949,0.0886,0.2063
4,TZn0-EC,C2,0.3077,0.0888,0.2189
4,TZn0-EC,C2,0.2526,0.0891,0.1635
4,TZn0-EC,C3,0.2516,0.0916,0.1600
4,TZn0-EC,C3,0.2736,0.0924,0.1812
4,TZn0-EC,C3,0.2725,0.0929,0.1796
4,TZn1-EC,C1,0.4899,0.0886,0.4013
4,TZn1-EC,C1,0.4881,0.0881,0.4000
4,TZn1-EC,C1,0.5014,0.0890,0.4124
4,TZn1-EC,C2,0.2366,0.0963,0.1403
4,TZn1-EC,C2,0.2375,0.0961,0.1414
4,TZn1-EC,C2,0.2430,0.0969,0.1461
4,TZn1-EC,C3,0.2317,0.0963,0.1354
4,TZn1-EC,C3,0.2344,0.0961,0.1383
4,TZn1-EC,C3,0.2270,0.0969,0.1301
4,TZn5-EC,C1,0.5033,0.0914,0.4119
4,TZn5-EC,C1,0.5121,0.0907,0.4214
4,TZn5-EC,C1,0.5104,0.0915,0.4189
4,TZn5-EC,C2,0.4211,0.0951,0.3260
4,TZn5-EC,C2,0.4372,0.0952,0.3420
4,TZn5-EC,C2,0.4050,0.0937,0.3113
4,TZn5-EC,C3,0.3863,0.0977,0.2886
4,TZn5-EC,C3,0.3778,0.1018,0.2760
4,TZn5-EC,C3,0.3459,0.1027,0.2432
4,TZn10-EC,C1,0.5208,0.0957,0.4251
4,TZn10-EC,C1,0.5436,0.0947,0.4489
4,TZn10-EC,C1,0.5325,0.0950,0.4375
4,TZn10-EC,C2,0.4602,0.0977,0.3625
4,TZn10-EC,C2,0.4762,0.1001,0.3761
4,TZn10-EC,C2,0.4807,0.0993,0.3814
4,TZn10-EC,C3,0.4295,0.1037,0.3258
4,TZn10-EC,C3,0.4256,0.0999,0.3257
4,TZn10-EC,C3,0.4310,0.1023,0.3287
6,T-EC,C1,0.6749,0.0951,0.5798
6,T-EC,C1,0.7661,0.0964,0.6697
6,T-EC,C1,0.7680,0.0959,0.6721
6,T-EC,C2,0.6749,0.0951,0.5798
6,T-EC,C2,0.7661,0.0964,0.6697
6,T-EC,C2,0.7680,0.0959,0.6721
6,T-EC,C3,0.6749,0.0951,0.5798
6,T-EC,C3,0.7661,0.0964,0.6697
6,T-EC,C3,0.7680,0.0959,0.6721
6,TZn0-EC,C1,0.5480,0.0892,0.4588
6,TZn0-EC,C1,0.5546,0.0886,0.4660
6,TZn0-EC,C1,0.5787,0.0884,0.4903
6,TZn0-EC,C2,0.3981,0.0886,0.3095
6,TZn0-EC,C2,0.3998,0.0888,0.3110
6,TZn0-EC,C2,0.4029,0.0891,0.3138
6,TZn0-EC,C3,0.3698,0.0916,0.2782
6,TZn0-EC,C3,0.3643,0.0924,0.2719
6,TZn0-EC,C3,0.3654,0.0929,0.2725
6,TZn1-EC,C1,0.4806,0.0886,0.3920
6,TZn1-EC,C1,0.5607,0.0881,0.4726
6,TZn1-EC,C1,0.5762,0.0890,0.4872
6,TZn1-EC,C2,0.2888,0.0963,0.1925
6,TZn1-EC,C2,0.2896,0.0961,0.1935
6,TZn1-EC,C2,0.2898,0.0969,0.1929
6,TZn1-EC,C3,0.2960,0.0963,0.1997
6,TZn1-EC,C3,0.2971,0.0961,0.2010
6,TZn1-EC,C3,0.3011,0.0969,0.2042
6,TZn5-EC,C1,0.5987,0.0914,0.5073
6,TZn5-EC,C1,0.6153,0.0907,0.5246
6,TZn5-EC,C1,0.6189,0.0915,0.5274
6,TZn5-EC,C2,0.4970,0.0951,0.4019
6,TZn5-EC,C2,0.5287,0.0952,0.4335
6,TZn5-EC,C2,0.4853,0.0937,0.3916
6,TZn5-EC,C3,0.4576,0.0977,0.3599
6,TZn5-EC,C3,0.4559,0.1018,0.3541
6,TZn5-EC,C3,0.4667,0.1027,0.3640
6,TZn10-EC,C1,0.6228,0.0957,0.5271
6,TZn10-EC,C1,0.5898,0.0947,0.4951
6,TZn10-EC,C1,0.6235,0.0950,0.5285
6,TZn10-EC,C2,0.5448,0.0977,0.4471
6,TZn10-EC,C2,0.5570,0.1001,0.4569
6,TZn10-EC,C2,0.5554,0.0993,0.4561
6,TZn10-EC,C3,0.4791,0.1037,0.3754
6,TZn10-EC,C3,0.4833,0.0999,0.3834
6,TZn10-EC,C3,0.4840,0.1023,0.3817
8,T-EC,C1,0.8432,0.0951,0.7481
8,T-EC,C1,0.8241,0.0964,0.7277
8,T-EC,C1,0.7863,0.0959,0.6904
8,T-EC,C2,0.8432,0.0951,0.7481
8,T-EC,C2,0.8241,0.0964,0.7277
8,T-EC,C2,0.7863,0.0959,0.6904
8,T-EC,C3,0.8432,0.0951,0.7481
8,T-EC,C3,0.8241,0.0964,0.7277
8,T-EC,C3,0.7863,0.0959,0.6904
8,TZn0-EC,C1,0.5936,0.0892,0.5044
8,TZn0-EC,C1,0.6226,0.0886,0.5340
8,TZn0-EC,C1,0.6275,0.0884,0.5391
8,TZn0-EC,C2,0.4502,0.0886,0.3616
8,TZn0-EC,C2,0.4532,0.0888,0.3644
8,TZn0-EC,C2,0.4661,0.0891,0.3770
8,TZn0-EC,C3,0.4320,0.0916,0.3404
8,TZn0-EC,C3,0.4302,0.0924,0.3378
8,TZn0-EC,C3,0.4256,0.0929,0.3327
8,TZn1-EC,C1,0.6175,0.0886,0.5289
8,TZn1-EC,C1,0.6267,0.0881,0.5386
8,TZn1-EC,C1,0.6417,0.0890,0.5527
8,TZn1-EC,C2,0.3266,0.0963,0.2303
8,TZn1-EC,C2,0.3226,0.0961,0.2265
8,TZn1-EC,C2,0.3232,0.0969,0.2263
8,TZn1-EC,C3,0.3248,0.0963,0.2285
8,TZn1-EC,C3,0.3223,0.0961,0.2262
8,TZn1-EC,C3,0.3241,0.0969,0.2272
8,TZn5-EC,C1,0.6401,0.0914,0.5487
8,TZn5-EC,C1,0.6566,0.0907,0.5659
8,TZn5-EC,C1,0.6543,0.0915,0.5628
8,TZn5-EC,C2,0.5263,0.0951,0.4312
8,TZn5-EC,C2,0.5287,0.0952,0.4335
8,TZn5-EC,C2,0.5289,0.0937,0.4352
8,TZn5-EC,C3,0.4472,0.0977,0.3495
8,TZn5-EC,C3,0.4192,0.1018,0.3174
8,TZn5-EC,C3,0.4887,0.1027,0.3860
8,TZn10-EC,C1,0.6590,0.0957,0.5633
8,TZn10-EC,C1,0.6894,0.0947,0.5947
8,TZn10-EC,C1,0.6718,0.0950,0.5768
8,TZn10-EC,C2,0.5803,0.0977,0.4826
8,TZn10-EC,C2,0.5931,0.1001,0.4930
8,TZn10-EC,C2,0.6073,0.0993,0.5080
8,TZn10-EC,C3,0.5215,0.1037,0.4178
8,TZn10-EC,C3,0.5234,0.0999,0.4235
8,TZn10-EC,C3,0.5328,0.1023,0.4305
10,T-EC,C1,0.9678,0.0951,0.8727
10,T-EC,C1,0.9619,0.0964,0.8655
10,T-EC,C1,0.9758,0.0959,0.8799
10,T-EC,C2,0.9678,0.0951,0.8727
10,T-EC,C2,0.9619,0.0964,0.8655
10,T-EC,C2,0.9758,0.0959,0.8799
10,T-EC,C3,0.9678,0.0951,0.8727
10,T-EC,C3,0.9619,0.0964,0.8655
10,T-EC,C3,0.9758,0.0959,0.8799
10,TZn0-EC,C1,0.6823,0.0892,0.5931
10,TZn0-EC,C1,0.7096,0.0886,0.6210
10,TZn0-EC,C1,0.7177,0.0884,0.6293
10,TZn0-EC,C2,0.5229,0.0886,0.4343
10,TZn0-EC,C2,0.5301,0.0888,0.4413
10,TZn0-EC,C2,0.5246,0.0891,0.4355
10,TZn0-EC,C3,0.4465,0.0916,0.3549
10,TZn0-EC,C3,0.4644,0.0924,0.3720
10,TZn0-EC,C3,0.4596,0.0929,0.3667
10,TZn1-EC,C1,0.6889,0.0886,0.6003
10,TZn1-EC,C1,0.6930,0.0881,0.6049
10,TZn1-EC,C1,0.6917,0.0890,0.6027
10,TZn1-EC,C2,0.3550,0.0963,0.2587
10,TZn1-EC,C2,0.3399,0.0961,0.2438
10,TZn1-EC,C2,0.3978,0.0969,0.3009
10,TZn1-EC,C3,0.5079,0.0963,0.4116
10,TZn1-EC,C3,0.3625,0.0961,0.2664
10,TZn1-EC,C3,0.3403,0.0969,0.2434
10,TZn5-EC,C1,0.6975,0.0914,0.6061
10,TZn5-EC,C1,0.7127,0.0907,0.6220
10,TZn5-EC,C1,0.7284,0.0915,0.6369
10,TZn5-EC,C2,0.6541,0.0951,0.5590
10,TZn5-EC,C2,0.7671,0.0952,0.6719
10,TZn5-EC,C2,0.6839,0.0937,0.5902
10,TZn5-EC,C3,0.6515,0.0977,0.5538
10,TZn5-EC,C3,0.5847,0.1018,0.4829
10,TZn5-EC,C3,0.6231,0.1027,0.5204
10,TZn10-EC,C1,0.7283,0.0957,0.6326
10,TZn10-EC,C1,0.7490,0.0947,0.6543
10,TZn10-EC,C1,0.8167,0.0950,0.7217
10,TZn10-EC,C2,0.7405,0.0977,0.6428
10,TZn10-EC,C2,0.8437,0.1001,0.7436
10,TZn10-EC,C2,0.8212,0.0993,0.7219
10,TZn10-EC,C3,0.8168,0.1037,0.7131
10,TZn10-EC,C3,0.7331,0.0999,0.6332
10,TZn10-EC,C3,0.7812,0.1023,0.6789
24,T-EC,C1,1.2624,0.0951,1.1673
24,T-EC,C1,1.1892,0.0964,1.0928
24,T-EC,C1,1.1932,0.0959,1.0973
24,T-EC,C2,1.2624,0.0951,1.1673
24,T-EC,C2,1.1892,0.0964,1.0928
24,T-EC,C2,1.1932,0.0959,1.0973
24,T-EC,C3,1.2624,0.0951,1.1673
24,T-EC,C3,1.1892,0.0964,1.0928
24,T-EC,C3,1.1932,0.0959,1.0973
24,TZn0-EC,C1,1.0360,0.0892,0.9468
24,TZn0-EC,C1,1.0853,0.0886,0.9967
24,TZn0-EC,C1,1.1113,0.0884,1.0229
24,TZn0-EC,C2,0.9224,0.0886,0.8338
24,TZn0-EC,C2,0.9421,0.0888,0.8533
24,TZn0-EC,C2,0.9364,0.0891,0.8473
24,TZn0-EC,C3,0.8416,0.0916,0.7500
24,TZn0-EC,C3,0.8566,0.0924,0.7642
24,TZn0-EC,C3,0.8662,0.0929,0.7733
24,TZn1-EC,C1,1.0271,0.0886,0.9385
24,TZn1-EC,C1,1.0652,0.0881,0.9771
24,TZn1-EC,C1,1.0791,0.0890,0.9901
24,TZn1-EC,C2,0.3736,0.0963,0.2773
24,TZn1-EC,C2,0.3790,0.0961,0.2829
24,TZn1-EC,C2,0.3889,0.0969,0.2920
24,TZn1-EC,C3,0.3451,0.0963,0.2488
24,TZn1-EC,C3,0.3501,0.0961,0.2540
24,TZn1-EC,C3,0.3623,0.0969,0.2654
24,TZn5-EC,C1,1.0535,0.0914,0.9621
24,TZn5-EC,C1,1.0842,0.0907,0.9935
24,TZn5-EC,C1,1.0927,0.0915,1.0012
24,TZn5-EC,C2,0.8773,0.0951,0.7822
24,TZn5-EC,C2,0.8724,0.0952,0.7772
24,TZn5-EC,C2,0.8859,0.0937,0.7922
24,TZn5-EC,C3,0.8654,0.0977,0.7677
24,TZn5-EC,C3,0.8877,0.1018,0.7859
24,TZn5-EC,C3,0.8775,0.1027,0.7748
24,TZn10-EC,C1,1.0584,0.0957,0.9627
24,TZn10-EC,C1,1.1124,0.0947,1.0177
24,TZn10-EC,C1,1.1152,0.0950,1.0202
24,TZn10-EC,C2,0.9737,0.0977,0.8760
24,TZn10-EC,C2,0.9890,0.1001,0.8889
24,TZn10-EC,C2,0.9888,0.0993,0.8895
24,TZn10-EC,C3,0.8668,0.1037,0.7631
24,TZn10-EC,C3,0.8811,0.0999,0.7812
24,TZn10-EC,C3,0.8870,0.1023,0.7847
